,Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology,Solar Irradiance (W/m²)
3641,28/09/2024 06:45,False,,28/09/2024 06:45,32.27491815,75.86612496,0.0,0.290057861,90.0,,False,220.0,0.0,0.9,0.796,True,False,Residential,"10.525053,7.418043",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,252.8870832
3642,28/09/2024 07:00,False,,28/09/2024 07:00,30.89658046,85.47236755,0.0,0.311425953,90.0,,False,220.0,0.0,0.9,0.797,False,False,Residential,"10.525053,7.418044",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,284.9078918
3643,28/09/2024 07:15,True,28/09/2024 07:15,,33.21506746,102.9211678,0.446303229,0.225580438,90.0,,False,220.0,2.02865104,0.9,0.798,True,False,Residential,"10.525053,7.418045",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,343.0705594
3644,28/09/2024 07:30,False,,28/09/2024 07:30,29.10567363,104.3406711,0.0,0.251665605,90.0,,False,220.0,0.0,0.9,0.799,True,False,Residential,"10.525053,7.418046",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,347.8022371
3645,28/09/2024 07:45,False,,28/09/2024 07:45,30.9169648,89.01816913,0.0,0.273920148,90.0,,False,220.0,0.0,0.9,0.8,True,False,Residential,"10.525053,7.418047",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,296.7272304
3646,28/09/2024 08:00,False,,28/09/2024 08:00,31.47320408,133.0205012,0.0,0.307175273,90.0,,False,220.0,0.0,0.9,0.801,False,False,Residential,"10.525053,7.418048",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,443.4016708
3647,28/09/2024 08:15,True,28/09/2024 08:15,,32.35602401,149.8081551,0.523670414,0.213709708,90.0,,False,220.0,2.380320063,0.9,0.802,True,False,Residential,"10.525053,7.418049",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,499.3605171
3648,28/09/2024 08:30,False,,28/09/2024 08:30,33.58280779,165.9656582,0.0,0.255201123,90.0,,False,220.0,0.0,0.9,0.803,True,False,Residential,"10.525053,7.418050",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,553.2188607
3649,28/09/2024 08:45,False,,28/09/2024 08:45,29.25337539,181.4793804,0.0,0.300570968,90.0,,False,220.0,0.0,0.9,0.804,False,False,Residential,"10.525053,7.418051",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,604.931268
3650,28/09/2024 09:00,True,28/09/2024 09:00,,33.40730659,190.6138175,0.542252684,0.212661251,90.0,,False,220.0,2.464784926,0.9,0.805,True,False,Residential,"10.525053,7.418052",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,635.3793917
3651,28/09/2024 09:15,False,,28/09/2024 09:15,33.24359758,214.3788771,0.0,0.266255971,90.0,,False,220.0,0.0,0.9,0.806,True,False,Residential,"10.525053,7.418053",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,714.5962571
3652,28/09/2024 09:30,False,,28/09/2024 09:30,31.68028986,221.6550508,0.0,0.321669733,90.0,,False,220.0,0.0,0.9,0.807,False,False,Residential,"10.525053,7.418054",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,738.8501692
3653,28/09/2024 09:45,True,28/09/2024 09:45,,33.77316696,223.7308018,0.305308559,0.301275294,90.0,,False,220.0,1.387766177,0.9,0.808,False,False,Residential,"10.525053,7.418055",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,745.7693392
3654,28/09/2024 10:00,True,28/09/2024 10:00,,33.29511347,223.6653021,0.355483884,0.268320649,90.0,,False,220.0,1.615835837,0.9,0.809,True,False,Residential,"10.525053,7.418056",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,745.551007
3655,28/09/2024 10:15,False,,28/09/2024 10:15,29.99277822,265.9599822,0.0,0.334810644,90.0,,False,220.0,0.0,0.9,0.81,False,False,Residential,"10.525053,7.418057",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,886.5332739
3656,28/09/2024 10:30,True,28/09/2024 10:30,,31.78416221,250.173831,0.523245151,0.266542814,90.0,,False,220.0,2.378387052,0.9,0.811,True,False,Residential,"10.525053,7.418058",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,833.9127699
3657,28/09/2024 10:45,False,,28/09/2024 10:45,31.44283729,240.1803884,0.0,0.326587911,90.0,,False,220.0,0.0,0.9,0.812,False,False,Residential,"10.525053,7.418059",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,800.6012946
3658,28/09/2024 11:00,True,28/09/2024 11:00,,31.03666398,254.1840096,0.566581553,0.248488525,90.0,,False,220.0,2.575370696,0.9,0.813,True,False,Residential,"10.525053,7.418060",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,847.280032
3659,28/09/2024 11:15,False,,28/09/2024 11:15,31.35292626,270.6444971,0.0,0.31614965,90.0,,False,220.0,0.0,0.9,0.814,False,False,Residential,"10.525053,7.418061",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,902.1483237
3660,28/09/2024 11:30,True,28/09/2024 11:30,,32.9845602,281.9373176,0.542014203,0.251130428,90.0,,False,220.0,2.463700922,0.9,0.815,True,False,Residential,"10.525053,7.418062",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,939.7910586
3661,28/09/2024 11:45,False,,28/09/2024 11:45,32.25741482,273.8590374,0.0,0.319595188,90.0,,False,220.0,0.0,0.9,0.816,False,False,Residential,"10.525053,7.418063",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,912.8634581
3662,28/09/2024 12:00,True,28/09/2024 12:00,,29.70426893,272.4108649,0.548803241,0.250497094,90.0,,False,220.0,2.494560186,0.9,0.817,True,False,Residential,"10.525053,7.418064",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,908.0362163
3663,28/09/2024 12:15,False,,28/09/2024 12:15,34.38849993,273.4944685,0.0,0.318870711,90.0,,False,220.0,0.0,0.9,0.818,False,False,Residential,"10.525053,7.418065",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,911.6482283
3664,28/09/2024 12:30,True,28/09/2024 12:30,,34.11667773,300.0,0.381252817,0.298557506,90.0,,False,220.0,1.73296735,0.9,0.819,True,False,Residential,"10.525053,7.418066",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,1049.409865
3665,28/09/2024 12:45,False,,28/09/2024 12:45,33.431542,271.848519,0.0,0.366519636,90.0,,False,220.0,0.0,0.9,0.82,False,False,Residential,"10.525053,7.418067",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,906.1617299
3666,28/09/2024 13:00,True,28/09/2024 13:00,,34.43935109,263.4698049,0.363579101,0.341492312,90.0,,False,220.0,1.652632277,0.9,0.821,False,False,Residential,"10.525053,7.418068",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,878.232683
3667,28/09/2024 13:15,True,28/09/2024 13:15,,29.98875492,243.6153257,0.55093992,0.264661164,90.0,,False,220.0,2.504272364,0.9,0.822,True,False,Residential,"10.525053,7.418069",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,812.0510857
3668,28/09/2024 13:30,False,,28/09/2024 13:30,33.47935551,251.9992511,0.0,0.327660976,90.0,,False,220.0,0.0,0.9,0.823,False,False,Residential,"10.525053,7.418070",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,839.9975038
3669,28/09/2024 13:45,True,28/09/2024 13:45,,31.10509751,255.9792412,0.543916069,0.255676769,90.0,,False,220.0,2.472345768,0.9,0.824,True,False,Residential,"10.525053,7.418071",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,853.2641372
3670,28/09/2024 14:00,False,,28/09/2024 14:00,29.66533891,225.4761773,0.0,0.312045814,90.0,,False,220.0,0.0,0.9,0.825,False,False,Residential,"10.525053,7.418072",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,751.5872578
3671,28/09/2024 14:15,True,28/09/2024 14:15,,31.92026346,224.4885362,0.212732256,0.314984884,90.0,,False,220.0,0.966964802,0.9,0.826,False,False,Residential,"10.525053,7.418073",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,748.2951207
3672,28/09/2024 14:30,True,28/09/2024 14:30,,34.63660579,230.2887253,0.316739034,0.293372306,90.0,,False,220.0,1.439722884,0.9,0.827,True,False,Residential,"10.525053,7.418074",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,767.6290842
3673,28/09/2024 14:45,False,,28/09/2024 14:45,29.8150139,205.1145392,0.0,0.344650941,90.0,,False,220.0,0.0,0.9,0.828,False,False,Residential,"10.525053,7.418075",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,683.7151306
3674,28/09/2024 15:00,True,28/09/2024 15:00,,30.36362551,203.1547597,0.468162946,0.278398895,90.0,,False,220.0,2.12801339,0.9,0.829,True,False,Residential,"10.525053,7.418076",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,677.1825323
3675,28/09/2024 15:15,False,,28/09/2024 15:15,30.55981853,163.7069286,0.0,0.319325627,90.0,,False,220.0,0.0,0.9,0.83,False,False,Residential,"10.525053,7.418077",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,545.689762
3676,28/09/2024 15:30,True,28/09/2024 15:30,,31.86299405,181.4747877,0.460321484,0.249613953,90.0,,False,220.0,2.092370383,0.9,0.831,True,False,Residential,"10.525053,7.418078",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,604.9159589
3677,28/09/2024 15:45,False,,28/09/2024 15:45,32.37784213,146.2603451,0.0,0.286179039,90.0,,False,220.0,0.0,0.9,0.832,True,False,Residential,"10.525053,7.418079",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,487.5344838
3678,28/09/2024 16:00,False,,28/09/2024 16:00,29.12817896,116.7519338,0.0,0.315367022,90.0,,False,220.0,0.0,0.9,0.833,False,False,Residential,"10.525053,7.418080",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,389.1731126
3679,28/09/2024 16:15,True,28/09/2024 16:15,,33.41845472,129.0661982,0.204371101,0.296540797,90.0,,False,220.0,0.928959549,0.9,0.834,True,False,Residential,"10.525053,7.418081",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,430.2206605
3680,28/09/2024 16:30,False,,28/09/2024 16:30,32.59167027,117.553771,0.0,0.32592924,90.0,,False,220.0,0.0,0.9,0.835,False,False,Residential,"10.525053,7.418082",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,391.8459032
3681,28/09/2024 16:45,True,28/09/2024 16:45,,30.85698373,71.41316371,0.296468138,0.269665496,90.0,,False,220.0,1.347582445,0.9,0.836,True,False,Residential,"10.525053,7.418083",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,238.043879
3682,28/09/2024 17:00,False,,28/09/2024 17:00,31.90937183,63.12501869,0.0,0.285446751,90.0,,False,220.0,0.0,0.9,0.837,True,False,Residential,"10.525053,7.418084",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,210.416729
3683,28/09/2024 17:15,False,,28/09/2024 17:15,33.28539121,33.76690515,0.0,0.293888477,90.0,,False,220.0,0.0,0.9,0.838,True,False,Residential,"10.525053,7.418085",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,112.5563505
3684,28/09/2024 17:30,False,,28/09/2024 17:30,33.93082501,29.88344248,0.0,0.301359338,90.0,,False,220.0,0.0,0.9,0.839,False,False,Residential,"10.525053,7.418086",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,99.61147494
3685,28/09/2024 17:45,True,28/09/2024 17:45,,30.82811781,19.03013518,0.510604885,0.2,90.0,,False,220.0,2.320931294,0.9,0.84,True,False,Residential,"10.525053,7.418087",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,63.43378393
3686,28/09/2024 18:00,False,,28/09/2024 18:00,29.60207557,0.179068927,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.841,True,False,Residential,"10.525053,7.418088",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.596896423
3687,28/09/2024 18:15,False,,28/09/2024 18:15,32.30277601,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.842,True,False,Residential,"10.525053,7.418089",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3688,28/09/2024 18:30,False,,28/09/2024 18:30,34.68169689,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.843,True,False,Residential,"10.525053,7.418090",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3689,28/09/2024 18:45,False,,28/09/2024 18:45,33.62504375,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.844,True,False,Residential,"10.525053,7.418091",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3690,28/09/2024 19:00,False,,28/09/2024 19:00,34.55879582,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.845,True,False,Residential,"10.525053,7.418092",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3691,28/09/2024 19:15,False,,28/09/2024 19:15,34.10237629,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.846,True,False,Residential,"10.525053,7.418093",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3692,28/09/2024 19:30,False,,28/09/2024 19:30,29.52772998,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.847,True,False,Residential,"10.525053,7.418094",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3693,28/09/2024 19:45,False,,28/09/2024 19:45,29.82787793,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.848,True,False,Residential,"10.525053,7.418095",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3694,28/09/2024 20:00,False,,28/09/2024 20:00,30.62329479,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.849,True,False,Residential,"10.525053,7.418096",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3695,28/09/2024 20:15,False,,28/09/2024 20:15,31.71013538,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.85,True,False,Residential,"10.525053,7.418097",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3696,28/09/2024 20:30,False,,28/09/2024 20:30,34.82602935,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.851,True,False,Residential,"10.525053,7.418098",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3697,28/09/2024 20:45,False,,28/09/2024 20:45,32.09330013,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.852,True,False,Residential,"10.525053,7.418099",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3698,28/09/2024 21:00,False,,28/09/2024 21:00,29.81221512,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.853,True,False,Residential,"10.525053,7.418100",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3699,28/09/2024 21:15,False,,28/09/2024 21:15,32.1390492,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.854,True,False,Residential,"10.525053,7.418101",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3700,28/09/2024 21:30,False,,28/09/2024 21:30,29.05820031,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.855,True,False,Residential,"10.525053,7.418102",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3701,28/09/2024 21:45,False,,28/09/2024 21:45,29.57549679,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.856,True,False,Residential,"10.525053,7.418103",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3702,28/09/2024 22:00,False,,28/09/2024 22:00,33.60382317,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.857,True,False,Residential,"10.525053,7.418104",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3703,28/09/2024 22:15,False,,28/09/2024 22:15,31.21102183,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.858,True,False,Residential,"10.525053,7.418105",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3704,28/09/2024 22:30,False,,28/09/2024 22:30,29.07728264,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.859,True,False,Residential,"10.525053,7.418106",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3705,28/09/2024 22:45,False,,28/09/2024 22:45,34.89054573,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.86,True,False,Residential,"10.525053,7.418107",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3706,28/09/2024 23:00,False,,28/09/2024 23:00,30.21505886,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.861,True,False,Residential,"10.525053,7.418108",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3707,28/09/2024 23:15,False,,28/09/2024 23:15,31.31402783,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.862,True,False,Residential,"10.525053,7.418109",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3708,28/09/2024 23:30,False,,28/09/2024 23:30,31.83613164,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.863,True,False,Residential,"10.525053,7.418110",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3709,28/09/2024 23:45,False,,28/09/2024 23:45,29.7098182,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.864,True,False,Residential,"10.525053,7.418111",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3710,29/09/2024 00:00,False,,29/09/2024 00:00,32.75028641,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.865,True,False,Residential,"10.525053,7.418112",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3711,29/09/2024 00:15,False,,29/09/2024 00:15,34.20533944,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.866,True,False,Residential,"10.525053,7.418113",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3712,29/09/2024 00:30,False,,29/09/2024 00:30,30.38292231,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.867,True,False,Residential,"10.525053,7.418114",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3713,29/09/2024 00:45,False,,29/09/2024 00:45,32.23289556,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.868,True,False,Residential,"10.525053,7.418115",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3714,29/09/2024 01:00,False,,29/09/2024 01:00,33.06409144,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.869,True,False,Residential,"10.525053,7.418116",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3715,29/09/2024 01:15,False,,29/09/2024 01:15,34.87370707,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.87,True,False,Residential,"10.525053,7.418117",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3716,29/09/2024 01:30,False,,29/09/2024 01:30,31.13676127,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.871,True,False,Residential,"10.525053,7.418118",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3717,29/09/2024 01:45,False,,29/09/2024 01:45,31.76420329,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.872,True,False,Residential,"10.525053,7.418119",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3718,29/09/2024 02:00,False,,29/09/2024 02:00,29.77608938,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.873,True,False,Residential,"10.525053,7.418120",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3719,29/09/2024 02:15,False,,29/09/2024 02:15,31.59300833,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.874,True,False,Residential,"10.525053,7.418121",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3720,29/09/2024 02:30,False,,29/09/2024 02:30,30.11775105,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.875,True,False,Residential,"10.525053,7.418122",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3721,29/09/2024 02:45,False,,29/09/2024 02:45,34.7445879,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.876,True,False,Residential,"10.525053,7.418123",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3722,29/09/2024 03:00,False,,29/09/2024 03:00,33.82919322,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.877,True,False,Residential,"10.525053,7.418124",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3723,29/09/2024 03:15,False,,29/09/2024 03:15,30.61377455,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.878,True,False,Residential,"10.525053,7.418125",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3724,29/09/2024 03:30,False,,29/09/2024 03:30,29.18852752,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.879,True,False,Residential,"10.525053,7.418126",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3725,29/09/2024 03:45,False,,29/09/2024 03:45,32.68619833,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.88,True,False,Residential,"10.525053,7.418127",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3726,29/09/2024 04:00,False,,29/09/2024 04:00,34.71351926,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.881,True,False,Residential,"10.525053,7.418128",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3727,29/09/2024 04:15,False,,29/09/2024 04:15,30.81533666,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.882,True,False,Residential,"10.525053,7.418129",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3728,29/09/2024 04:30,False,,29/09/2024 04:30,32.46467244,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.883,True,False,Residential,"10.525053,7.418130",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3729,29/09/2024 04:45,False,,29/09/2024 04:45,30.82602295,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.884,True,False,Residential,"10.525053,7.418131",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3730,29/09/2024 05:00,False,,29/09/2024 05:00,29.19726659,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.885,True,False,Residential,"10.525053,7.418132",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3731,29/09/2024 05:15,False,,29/09/2024 05:15,31.99627609,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.886,True,False,Residential,"10.525053,7.418133",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3732,29/09/2024 05:30,False,,29/09/2024 05:30,33.34705406,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.887,True,False,Residential,"10.525053,7.418134",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3733,29/09/2024 05:45,False,,29/09/2024 05:45,32.90101301,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.888,True,False,Residential,"10.525053,7.418135",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3734,29/09/2024 06:00,False,,29/09/2024 06:00,31.8358133,0.0,0.0,0.200044767,90.0,,False,220.0,0.0,0.9,0.889,True,False,Residential,"10.525053,7.418136",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
3735,29/09/2024 06:15,False,,29/09/2024 06:15,31.87731487,21.38283317,0.0,0.205390476,90.0,,False,220.0,0.0,0.9,0.89,True,False,Residential,"10.525053,7.418137",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,71.27611057
3736,29/09/2024 06:30,False,,29/09/2024 06:30,31.46379655,34.20010716,0.0,0.213940502,90.0,,False,220.0,0.0,0.9,0.891,True,False,Residential,"10.525053,7.418138",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,114.0003572
3737,29/09/2024 06:45,False,,29/09/2024 06:45,30.57042287,50.65229627,0.0,0.226603576,90.0,,False,220.0,0.0,0.9,0.892,True,False,Residential,"10.525053,7.418139",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,168.8409876
3738,29/09/2024 07:00,False,,29/09/2024 07:00,31.25896153,77.60916946,0.0,0.246005869,90.0,,False,220.0,0.0,0.9,0.893,True,False,Residential,"10.525053,7.418140",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,258.6972315
3739,29/09/2024 07:15,False,,29/09/2024 07:15,29.82672086,87.25764871,0.0,0.267820281,90.0,,False,220.0,0.0,0.9,0.894,True,False,Residential,"10.525053,7.418141",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,290.858829
3740,29/09/2024 07:30,False,,29/09/2024 07:30,32.55534966,119.1032253,0.0,0.297596087,90.0,,False,220.0,0.0,0.9,0.895,True,False,Residential,"10.525053,7.418142",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,397.010751
3741,29/09/2024 07:45,False,,29/09/2024 07:45,34.25977588,126.0055579,0.0,0.329097477,90.0,,False,220.0,0.0,0.9,0.896,False,False,Residential,"10.525053,7.418143",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,420.0185264
3742,29/09/2024 08:00,True,29/09/2024 08:00,,32.36293975,153.8215045,0.338850356,0.282840264,90.0,,False,220.0,1.540228893,0.9,0.897,True,False,Residential,"10.525053,7.418144",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,512.7383482
